,Id,HubId,RelativeToMaxCap
438,3466,C004_2022-03-28,1.0
439,3468,C004_2022-03-09,0.7343378641683103
440,3476,C004_2022-02-07,0.8397952449309666
441,3477,C004_2022-02-24,0.8505265021170283
442,3480,C004_2022-02-02,0.6953290483634635
443,3483,C004_2022-02-28,0.7435210723076923
444,3485,C004_2022-04-07,0.7515158331002877
445,3487,C004_2022-03-18,1.0
446,3489,C004_2022-02-23,0.7095469750635921
447,3490,C004_2022-04-21,0.6406871054462108
448,3491,C004_2022-02-04,0.7048064453926529
449,3492,C004_2022-03-15,1.0
450,3493,C004_2022-02-18,0.866412613320184
451,3494,C004_2022-01-28,0.6784456187097637
452,3496,C004_2022-03-21,0.7104432174009103
453,3499,C004_2022-02-10,0.23303869721019885
454,3500,C004_2022-02-25,0.7219531468639054
455,3502,C004_2022-03-23,0.6431715881999
456,3503,C004_2022-03-24,0.7417647236686391
457,3505,C004_2022-03-25,0.2691834410299377
458,3506,C004_2022-03-04,0.6653582777510889
459,3507,C004_2022-04-29,0.821131298921762
460,3508,C004_2022-03-03,0.8910256410256411
461,3509,C004_2022-03-02,0.6632408453536446
462,3510,C004_2022-02-03,0.6873063880443427
463,3512,C004_2022-04-08,0.15865940384794633
464,3514,C004_2022-03-10,0.8050385375452668
465,3515,C004_2022-04-11,0.9797520822222223
466,3516,C004_2022-04-14,0.727825090353542
467,3517,C004_2022-04-13,0.8355848732807364
468,3518,C004_2022-04-04,1.0
469,3519,C004_2022-03-31,0.09389817208760237
470,3520,C004_2022-04-20,0.6652006021977145
471,3521,C004_2022-04-01,0.7905710195792243
472,3524,C004_2022-03-11,0.8017753406969099
473,3529,C005_2022-02-04,0.939005439005439
474,3550,C005_2022-03-25,0.8622766122766122
475,3577,C005_2022-01-17,0.8527583527583528
476,3579,C005_2022-03-11,1.0
477,3581,C005_2022-02-28,0.8545066045066045
478,3587,C005_2022-01-10,0.8292540792540791
479,3590,C005_2022-01-18,0.8945221445221444
480,3591,C005_2022-02-02,0.8848096348096348
481,3594,C005_2022-02-18,0.8902486402486401
482,3595,C005_2022-02-03,0.9607614607614607
483,3596,C005_2022-02-25,0.8564491064491064
484,3602,C005_2022-01-07,0.7944832944832946
485,3608,C005_2022-01-14,0.8875291375291375
486,3611,C005_2022-03-17,0.8867521367521367
487,3615,C005_2022-03-28,0.8762626262626263
488,3618,C005_2022-01-25,0.8630536130536131
489,3619,C005_2022-01-28,1.0
490,3621,C005_2022-01-06,0.8135198135198136
491,3622,C005_2022-01-24,0.8397435897435898
492,3624,C005_2022-02-07,0.8374125874125874
493,3626,C005_2022-02-24,0.8613053613053614
494,3633,C005_2022-04-22,0.8976301476301476
495,3634,C005_2022-01-13,0.8731546231546231
496,3635,C005_2022-01-04,0.8457653457653458
497,3639,C005_2022-02-14,0.81993006993007
498,3640,C005_2022-01-20,0.9191919191919192
499,3641,C005_2022-01-05,0.7676767676767676
500,3643,C005_2022-02-09,0.8616938616938618
501,3650,C005_2022-01-31,0.8154623154623154
502,3652,C005_2022-01-03,0.8255633255633256
503,3655,C005_2022-02-08,0.8846153846153846
504,3656,C005_2022-01-26,0.8797591297591297
505,3657,C005_2022-02-10,0.8982128982128982
506,3661,C005_2022-03-18,0.8589743589743589
507,3664,C005_2022-04-01,0.9019036519036518
508,3665,C005_2022-04-28,0.9906759906759907
509,3666,C005_2022-01-19,0.8702408702408703
510,3667,C005_2022-04-21,0.8613053613053614
511,3669,C005_2022-04-05,0.8793706293706295
512,3671,C005_2022-01-21,0.862082362082362
513,3672,C005_2022-02-01,0.9195804195804196
514,3673,C005_2022-01-11,0.8209013209013208
